"","stateabbr","block_fips","hu2010","hu2011","hu2012","hu2013","hu2014","hu2015","hu2016","hu2017","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","hh2010","hh2011","hh2012","hh2013","hh2014","hh2015","hh2016","hh2017","TractCode"
"10089975","VT",500019601003021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089976","VT",500019601003022,13,13,13,13,13,13,13,13,25,25,25,25,25,25,25,25,10,10,10,10,10,10,10,10,"50001960100"
"10089977","VT",500019601003023,22,22,22,22,22,22,22,23,56,56,55,55,55,55,55,55,21,21,21,21,21,21,21,21.9545,"50001960100"
"10089978","VT",500019601003024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089979","VT",500019601003025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089980","VT",500019601003026,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,"50001960100"
"10089981","VT",500019601003027,95,95,95,96,96,96,96,98,241,241,240,241,241,241,241,233,92,92,92,92.9684,92.9684,92.9684,92.9684,94.9052,"50001960100"
"10089982","VT",500019601003028,47,47,47,47,47,47,48,48,133,133,132,132,132,132,132,132,47,47,47,47,47,47,48,48,"50001960100"
"10089983","VT",500019601003029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089984","VT",500019601003030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089985","VT",500019601003031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089986","VT",500019601003032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089987","VT",500019601003033,7,7,7,7,7,7,7,7,20,20,20,20,20,20,20,20,7,7,7,7,7,7,7,7,"50001960100"
"10089988","VT",500019601003034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089989","VT",500019601003035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089990","VT",500019601003036,27,27,27,27,27,27,27,27,87,87,86,87,87,87,87,87,27,27,27,27,27,27,27,27,"50001960100"
"10089991","VT",500019601003037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089992","VT",500019601003038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089993","VT",500019601003039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089994","VT",500019601003040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089995","VT",500019601003041,50,50,50,51,51,51,51,51,129,129,128,128,128,128,128,128,49,49,49,49.98,49.98,49.98,49.98,49.98,"50001960100"
"10089996","VT",500019601003042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
